Date,Year,Month,Day,Time,V1,V2,V3,A1,A2,A3,A_Average,PF1,PF2,PF3,PF_Average
1398/03/31 16:00:43,1398,03,31,16:00:43,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:01:12,1398,03,31,16:01:12,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:01:56,1398,03,31,16:01:56,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:02:25,1398,03,31,16:02:25,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:02:56,1398,03,31,16:02:56,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:03:25,1398,03,31,16:03:25,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:04:55,1398,03,31,16:04:55,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:05:24,1398,03,31,16:05:24,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:05:53,1398,03,31,16:05:53,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:06:22,1398,03,31,16:06:22,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:07:02,1398,03,31,16:07:02,0,0,0,0,0,0,0,0,0,0,undefined
1398/03/31 16:12:32,1398,03,31,16:12:32,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:34,1398,03,31,16:12:34,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:35,1398,03,31,16:12:35,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:37,1398,03,31,16:12:37,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:38,1398,03,31,16:12:38,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:40,1398,03,31,16:12:40,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:41,1398,03,31,16:12:41,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:43,1398,03,31,16:12:43,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:44,1398,03,31,16:12:44,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:46,1398,03,31,16:12:46,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:48,1398,03,31,16:12:48,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:49,1398,03,31,16:12:49,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:51,1398,03,31,16:12:51,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:52,1398,03,31,16:12:52,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:53,1398,03,31,16:12:53,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:55,1398,03,31,16:12:55,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:56,1398,03,31,16:12:56,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:57,1398,03,31,16:12:57,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:12:59,1398,03,31,16:12:59,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:00,1398,03,31,16:13:00,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:02,1398,03,31,16:13:02,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:03,1398,03,31,16:13:03,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:05,1398,03,31,16:13:05,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:06,1398,03,31,16:13:06,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:08,1398,03,31,16:13:08,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:09,1398,03,31,16:13:09,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:10,1398,03,31,16:13:10,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:12,1398,03,31,16:13:12,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:13,1398,03,31,16:13:13,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:14,1398,03,31,16:13:14,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:16,1398,03,31,16:13:16,0,0,0,0,0,0,0,0,null,0,undefined
1398/03/31 16:13:17,1398,03,31,16:13:17,0,0,0,0,0,0,0,0,null,0,undefined
